30
30  
10, 15, 20, 30, 8, 10, 15, 20, 30, 8, 24, 80, 25, 8, 10, 10, 15, 20, 30, 8, 10, 15, 20, 30, 8, 24, 80, 25, 8, 10
0.5, 0.8, 0.12, 0.1, 0.5, 0.5, 0.8, 0.12, 0.01, 0.99, 0.15, 0.68, 0.01, 0.02, 0.28,0.5, 0.8, 0.12, 0.1, 0.5, 0.5, 0.8, 0.12, 0.01, 0.99, 0.15, 0.68, 0.01, 0.02, 0.28
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
7, 20, 10, 9, 15, 11, 12, 10, 14, 15, 13, 13, 9, 16, 20, 7, 20, 10, 9, 15, 11, 12, 10, 14, 15, 13, 13, 9, 16, 20
0.2, 0.3, 0.4, 0.1, 0.2, 0.2, 0.3, 0.4, 0.1, 0.2, 0.01, 0.128, 0.02, 0.69, 0.08,0.2, 0.3, 0.4, 0.1, 0.2, 0.2, 0.3, 0.4, 0.1, 0.2, 0.01, 0.128, 0.02, 0.69, 0.08
20, 30, 15, 25, 28, 20, 30, 15, 25, 28, 100, 80, 45, 60, 85,20, 30, 15, 25, 28, 20, 30, 15, 25, 28, 100, 80, 45, 60, 85
50, 60, 40, 80, 80, 80, 60, 70, 80, 80, 180, 250, 120, 190, 200, 50, 60, 40, 80, 80, 80, 60, 70, 80, 80, 180, 250, 120, 190, 200
180, 150, 180, 200, 200, 130, 190, 280, 180, 300, 210, 260, 150, 170, 190, 180, 150, 180, 200, 200, 130, 190, 280, 180, 300, 210, 260, 150, 170, 190
220, 250, 260, 300, 250, 180, 200, 350, 215, 320, 250, 300, 200, 225, 218, 220, 250, 260, 300, 250, 180, 200, 350, 115, 320, 250, 300, 100, 125, 118
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80, 100, 90, 120, 200, 180, 150, 380, 100, 90, 100, 200, 300, 140, 165, 190, 195, 140, 50, 180, 200, 200, 230, 100, 180, 220, 180, 300, 225, 230
10, 15, 12, 20, 50, 10, 25, 30, 100, 15, 10, 10, 20, 30, 50, 10, 30, 10, 12, 50, 13, 11, 17, 10, 30, 65, 28, 30, 100, 95

